text,rate,number,rank,inform_tip
星际牛仔,9.1,(5306人评分),1,"
26话 / 1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩 "
攻壳机动队 S.A.C. 2nd GIG,9.1,(3168人评分),2,"
26话 / 2004年1月1日 / 神山健治 / 士郎正宗 "
攻壳机动队 STAND ALONE COMPLEX,9.0,(3970人评分),3,"
26话 / 2002年10月1日 / 神山健治 / 士郎正宗 / 下村一 "
CLANNAD ～AFTER STORY～,9.0,(9038人评分),4,"
24话 / 2008年10月2日 / 石原立也 / Key、Visual Art's / 池田和美 "
新世纪福音战士,8.9,(10334人评分),5,"
26话 / 1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行 "
攻壳机动队,8.9,(3246人评分),6,"
1话 / 1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之 "
银魂',8.8,(7249人评分),7,"
51话 / 2011年4月4日 "
新世纪福音战士剧场版 Air/真心为你,8.8,(4926人评分),8,"
2话 / 1997年7月19日 "
灌篮高手,8.8,(5121人评分),9,"
101话 / 1993年10月16日 / 井上雄彦 "
浪客剑心 追忆篇,8.8,(2604人评分),10,"
4话 / 1999年2月20日 "
银魂,8.8,(6817人评分),11,"
201话 / 2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二 "
3月的狮子 第二季,8.8,(1933人评分),12,"
22话 / 2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛 "
钢之炼金术师 FULLMETAL ALCHEMIST,8.8,(7579人评分),13,"
64话 / 2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀 "
银河英雄传说,8.8,(948人评分),14,"
110话 / 1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) "
白箱,8.8,(6699人评分),15,"
24话 / 2014年10月9日 "
虫师,8.7,(5288人评分),16,"
26话 / 2005年10月22日 / 長濵博史 / 馬越嘉彦 "
猫和老鼠,8.7,(2639人评分),17,"
161话 / 1965年9月25日 / William Hanna (1940–58) Joseph Barbera (1940–58 / 2005) Gene Deitch (1961–62) Chuck Jones (1963–67) Maurice Noble (1964–67) Abe Levitow (1965–67) Tom Ray (1966–67) Ben Washam (1966–67) "
福音战士新剧场版：破,8.7,(5794人评分),18,"
1话 / 2009年6月27日 "
水星领航员 第三季,8.7,(1160人评分),19,"
14话 / 2008年1月7日 / 佐藤順一 / 天野こずえ / 古賀誠 "
攻壳机动队2 无罪,8.6,(2481人评分),20,"
1话 / 2004年3月6日 / 押井守 "
蓝色恐惧,8.6,(2561人评分),21,"
1话 / 1998年2月28日 / 今敏 / 竹内義和 "
