text,rate,number,rank,inform_tip
疯狂原始人2,,,,"
2020年9月18日 / Kirk De Micco, Chris Sanders "
魔发精灵2,,,,"
2020年4月10日 "
冰雪奇缘2,,(少于10人评分),,"
2019年11月27日 "
愤怒的小鸟2,,(少于10人评分),,"
2019年9月20日 / Thurop Van Orman、John Rice "
狮子王,,,,"
2019年7月19日 / Jon Favreau "
玩具总动员4,,(少于10人评分),,"
1话 / 2019年6月21日 / John Lasseter / Josh Cooley "
驯龙高手3,,,,"
2019年3月1日 / Dean DeBlois "
蜘蛛侠：新宇宙,,,,"
2018年12月14日 "
剧场版 龙珠超（暂）,,,,"
2018年12月14日 "
无敌破坏王2：破坏王大闹互联网,,,,"
2018年11月21日 / Phil Johnston, Rich Moore "
巨人国历险记,,,,"
2018-11-21 "
映画 HUGっと！プリキュア♡ふたりはプリキュア,,,,"
2018年10月27日 "
网球王子 BEST GAMES!! 手塚 vs 跡部,,,,"
1话 / 2018年10月26日 / 川口敬一郎 / 許斐剛（集英社 ジャンプ コミックス刊「ジャンプ SQ.」連載） "
剧场版 夏目友人帐～缘结空蝉～,,(少于10人评分),,"
2018年9月29日 / 緑川ゆき／月刊 LaLa（白泉社）連載 "
FLCL Progressive,,,,"
1话 / 2018年9月28日 / 荒井和人、海谷敏久、小川優樹、井端義秀、末澤慧、博史池畠 "
无节操☆Bitch社,,,,"
2018-09-21 "
FLCL Alternative,,(少于10人评分),,"
6话 / 2018年9月7日 "
笑对昙天 <外传>～樱华、天望的架桥～,,,,"
2018年9月1日 "
我想吃掉你的胰脏,,(少于10人评分),,"
2018年9月1日 / 牛嶋新一郎 / 住野よる『君の膵臓をたべたい』（双葉社刊） / 岡勇一 "
剧场版 悠哉日常大王 Vacation,,,,"
2018年8月25日 / あっと（月刊コミックアライブ連載『のんのんびより』/KADOKAWA刊） "
ちいさな英雄―カニとタマゴと透明人間―,,,,"
3话 / 2018年8月24日 "
剧场版 七大罪 天空的囚人,,,,"
2018年8月18日 "
昨日青空,,,,"
2018年8月10日 / 奚超 / 口袋巧克力 "
我的英雄学院 剧场版 ～两个英雄～,,,,"
2018年8月3日 / 堀越耕平（集英社「週刊少年ジャンプ」連載） "
政宗君的复仇 OAD,,,,"
1话 / 2018年7月27日 "
未来的未来,,,,"
2018年7月20日 / 細田守 "
岸边露伴一动不动 六壁坂,,,,"
1话 / 2018年7月19日 / 荒木飛呂彦 "
剧场版 精灵宝可梦 大家的故事,,,,"
2018年7月13日 "
女皇之刃 UNLIMITED,,,,"
2018年7月13日 / 如月娥眉 / ホビージャパン "
精灵旅社3,,,,"
2018年7月13日 / Genndy Tartakovsky "
擅长捉弄的高木同学 OVA,,(少于10人评分),,"
1话 / 2018年7月12日 / 山本崇一朗「からかい上手の高木さん」（小学館「ゲッサン」連載中） "
K SEVEN STORIES,,(少于10人评分),,"
6话 / 2018年7月7日 "
THE・IDOL K,,(少于10人评分),,"
2018年7月7日 "
七星的昴星团,,,,"
12话 / 2018年7月5日 / 田尾典丈（小学館 ガガガ文庫「七星のスバル」） / 山本由美子 "
血界战线 & BEYOND OAD,,(少于10人评分),,"
1话 / 2018年7月4日 / 内藤泰弘 (集英社 ジャンプ コミックス刊) "
某僵尸少女的灾难,,(少于10人评分),,"
2018年7月4日 / 岩見英明 / 池端亮 "
汤摇庄的幽奈同学 OAD,,,,"
2话 / 2018年7月4日 / ミウラタダヒロ（集英社「週刊少年ジャンプ」連載） "
超人总动员2,,,,"
1话 / 2018年6月15日 "
忍者蝙蝠侠,,(少于10人评分),,"
2018年6月15日 / 水崎淳平 / 岡崎能士 "
牵牛花与加濑同学。,,,,"
1话 / 2018年6月9日 / 佐藤卓哉 / 高嶋ひろみ / 坂井久太 "
笑对昙天 <外传> ～宿命、双头的风魔～,,,,"
2018年6月9日 / 唐々煙「曇天に笑う＜外伝＞」（マッグガーデン刊） "
未来卡 神搭档对战,,,,"
2018-6-2 "
新撰组异闻录 铁 ～想道～,,(少于10人评分),,"
2018年6月2日 / 黒乃奈々絵 "
むっつりドスケベ露義母姉妹の本質見抜いてセックス三昧,,,,"
2话 / 2018-06-01 "
梦塔·雪谜城,,,,"
12话 / 2018年6月1日 "
放課後の優等生,,,,"
2018-05-25 / 笹森トモエ "
宇宙战舰大和号2202 爱的战士们 第五章,,,,"
2018年5月25日 "
哥斯拉 决战机动增殖都市,,(少于10人评分),,"
2018年5月18日 / 静野孔文、瀬下寛之 "
幻界王,,,,"
2018年5月10日 / 绘漫 "
卡片战斗先导者,,,,"
2018年5月5日 "
数码兽大冒险 tri. 第六章「我们的未来」,,(少于10人评分),,"
2018年5月5日 "
プリパラ＆キラッとプリ☆チャン ～きらきらメモリアルライブ～,,,,"
2018年5月5日 "
屁屁侦探,,,,"
2018年5月3日 "
帝王攻略,,,,"
2018年4月30日 / 语笑阑珊 "
ツンえむ！ ～ぎゅっと縛って指導して～ THE ANIMATION,,,,"
 2018-04-27 / わたせとしひろ / 獅子龍天馬 "
妹天堂3,,(少于10人评分),,"
2话 / 2018-04-27 "
俺が姪を○す理由,,,,"
2018-04-27 / 横山ひろみ / 焼鯖定食 / びんめ "
全职高手 特别篇,,(少于10人评分),,"
1话 / 2018年4月27日 "
图斯库尔皇女的华丽日常,,,,"
1话 / 2018年4月26日 "
我的逆天神器,,(少于10人评分),,"
2018年4月26日 / 猫妖 "
莉兹与青鸟,8.7,(11人评分),,"
2018年4月21日 / 山田尚子 / 武田綾乃（宝島社文庫「響け！ユーフォニアム 北宇治高校吹奏楽部、波乱の第二楽章」） / 西屋太志 "
阴阳师·平安物语,,(少于10人评分),,"
2018年4月21日 "
ポンコツクエスト〜魔王と派遣の魔物たち〜 シーズン4,,(少于10人评分),,"
12话 / 2018年4月19日 / 松本慶祐 "
小兵杨来西 第二部,,,,"
26话 / 2018年4月16日 / 赵发华 "
黄金神威 小剧场,,(少于10人评分),,"
2018年4月16日 / 森井ケンシロウ / 野田サトル（集英社「週刊ヤングジャンプ」連載） "
天眼归来,,(少于10人评分),,"
104话 / 2018年4月16日 "
凸变英雄 LEAF,7.6,(21人评分),,"
12话 / 2018年4月14日 / 李豪凌 / LAN "
异世界居酒屋～古都阿伊特力亚的居酒屋「阿信」,6.0,(22人评分),,"
2018年4月13日 / 小野勝巳 / 異世界居酒屋「のぶ」（宝島社） "
全金属狂潮 Invisible Victory,8.3,(183人评分),180,"
12话 / 2018年4月13日 / 中山勝一 / 賀東招二「フルメタル・パニック！」（ファンタジア文庫 / KADOKAWA） / 堀内修 "
名侦探柯南 零之执行人,,(少于10人评分),,"
2018年4月13日 "
蜡笔小新 爆盛！功夫男孩 ～拉面大乱～,,(少于10人评分),,"
2018年4月13日 "
姦染5-The Daybreak- ルートA絶望と悪夢の世界で,4.5,(15人评分),,"
3话 / 2018-04-13 / わたせとしひろ "
全金属狂潮 Invisible Victory,8.3,(183人评分),180,"
12话 / 2018年4月13日 / 中山勝一 / 賀東招二「フルメタル・パニック！」（ファンタジア文庫 / KADOKAWA） / 堀内修 "
奴隶区 我与23人的奴隶,6.1,(21人评分),,"
2018年4月12日 / 倉谷涼一 / オオイシヒロト、岡田伸一/双葉社 / ごとうじゅんじ "
桧曾根与玛索丹,7.3,(72人评分),1256,"
2018年4月12日 / 小林寛 / BONES・樋口真嗣・岡田麿里 / 伊藤嘉之 "
宅男腐女恋爱真难,6.7,(120人评分),2232,"
11话 / 2018年4月12日 / 平池芳正 / ふじた（「comic POOL」連載／一迅社刊） / 安田京弘 "
最后的休止符 无止境的螺旋物语,6.4,(17人评分),,"
12话 / 2018年4月11日 / 高橋みか "
Butlers～千年百年物语～,3.3,(10人评分),,"
2018年4月11日 / 高橋賢 / 「Intouchable Butlers」（SummerACG） "
ポンコツクエスト〜魔王と派遣の魔物たち〜 シーズン5,,(少于10人评分),,"
12话 / 2018年4月11日 / 松本慶祐 "
命运石之门 0,8.2,(309人评分),186,"
24话 / 2018年4月11日 / 川村賢一(かわむらけんいち) / 志倉千代丸／MAGES. "
梵蒂冈奇迹调查官 OAD,,,,"
1话 / 2018年4月11日 "
High School D×D HERO,6.7,(40人评分),,"
13话 / 2018年4月10日 / 末田宜史 / 石踏一榮「ハイスクールD×D」（ファンタジア文庫 / KADOKAWA） / うのまこと "
鹿枫堂,7.1,(16人评分),,"
2018年4月10日 / 神谷友美 / 清水ユウ（新潮社「ゴーゴーバンチ」連載） / 安食圭(安食佳) "
苍天之拳 REGENESIS,6.0,(29人评分),,"
24话 / 2018年4月9日 / 漫画『蒼天の拳』（原哲夫・堀江信彦 監修：武論尊） / 勅使河原一馬、佐藤宏美 "
飞天少年之启航篇,,(少于10人评分),,"
26话 / 2018年4月9日 / 彭朝旭 "
三只松鼠,,,,"
52话 / 2018年4月9日 "
实验品家庭,6.4,(31人评分),,"
12话 / 2018年4月9日 / 危天行 / Yanai(日更计划) "
道口时间,6.5,(56人评分),2455,"
12话 / 2018年4月9日 / 鈴木吉男 / 里好「踏切時間」（双葉社） 連載「月刊アクション」 "
Lady Sport,,,,"
2018年4月9日 / 木村寛 "
黄金神威,7.5,(90人评分),1016,"
2018年4月9日 / 難波日登志 / 野田サトル（集英社「週刊ヤングジャンプ」連載） / 大貫健一 "
美男高校地球防卫部 HAPPY KISS！,,(少于10人评分),,"
2018年4月8日 / 高松信司 / 宮川知子 "
食戟之灵 餐之皿 远月列车篇,7.1,(98人评分),1668,"
2018年4月8日 "
こねこのチー ポンポンらー大旅行,,,,"
2018年4月8日 / 鴻巣智、 皆川恵美里 "
雷顿 神秘侦探社～卡托莉的解谜档案～,6.6,(20人评分),,"
26话 / 2018年4月8日 / 満仲勧 / 「レイトン」シリーズ（レベルファイブ） / 高田謡子 "
甜心战士Universe,5.5,(21人评分),,"
2018年4月8日 / 横山彰利 / 永井豪「キューティーハニー」 / 井関修一 "
年轻老板娘是小学生！,5.8,(13人评分),,"
2018年4月8日 / 増原光幸、谷東 / 令丈ヒロ子・亜沙美（絵） （講談社青い鳥文庫『若おかみは小学生！』シリーズ） / 朝来昭子 "
卡利古拉,6.8,(123人评分),2134,"
12话 / 2018年4月8日 / 和田純一 / 「Caligula-カリギュラ-」（フリュー） / 田辺謙司 "
闪亮美妙☆频道,,(少于10人评分),,"
2018年4月8日 / 博史池畠 / 満田一 "
