text,rate,number,rank,inform_tip
星际牛仔,9.1,(4517人评分),1,"
26话 / 1998年10月23日 / 渡辺信一郎 / 矢立肇 / 川元利浩 "
攻壳机动队 S.A.C. 2nd GIG,9.1,(2788人评分),2,"
26话 / 2004年1月1日 / 神山健治 / 士郎正宗 "
攻壳机动队 STAND ALONE COMPLEX,9.0,(3551人评分),3,"
26话 / 2002年10月1日 / 神山健治 / 士郎正宗 / 下村一 "
CLANNAD ～AFTER STORY～,8.9,(8089人评分),4,"
24话 / 2008年10月2日 / 石原立也 / Key、Visual Art's / 池田和美 "
新世纪福音战士,8.9,(9361人评分),5,"
26话 / 1995年10月4日 / 庵野秀明 / GAINAX / 貞本義行 "
银魂',8.9,(6919人评分),6,"
51话 / 2011年4月4日 "
攻壳机动队,8.9,(2845人评分),7,"
1995年11月18日 / 押井守 / 士郎正宗 / 沖浦啓之 "
新世纪福音战士剧场版 Air/真心为你,8.8,(4364人评分),8,"
1997年7月19日 "
银魂,8.8,(6511人评分),9,"
201话 / 2006年4月4日 / 高松信司 / 空知英秋 / 竹内進二 "
灌篮高手,8.8,(4844人评分),10,"
101话 / 1993年10月16日 / 井上雄彦 "
浪客剑心 追忆篇,8.8,(2300人评分),11,"
4话 / 1999年2月20日 "
白箱,8.8,(5795人评分),12,"
24话 / 2014年10月9日 "
3月的狮子 第二季,8.8,(1091人评分),13,"
22话 / 2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛 "
钢之炼金术师 FULLMETAL ALCHEMIST,8.7,(6727人评分),14,"
64话 / 2009年4月5日 / 入江泰浩 / 荒川弘（掲載 月刊『少年ガンガン』スクウェア・エニックス刊） / 菅野宏紀 "
银河英雄传说,8.8,(830人评分),15,"
110话 / 1988年1月8日 / 田中芳樹 / 本木久年(1期)、久米一成(2期)、清水恵蔵(3期～) "
虫师,8.7,(4968人评分),16,"
26话 / 2005年10月22日 / 長濵博史 / 馬越嘉彦 "
福音战士新剧场版：破,8.7,(5282人评分),17,"
1话 / 2009年6月27日 "
猫和老鼠,8.7,(2273人评分),18,"
162话 / 1940年2月10日 / 约瑟夫·巴伯拉 / 威廉·汉纳 / 特克斯·艾弗里 / Michael Lah "
水星领航员 第三季,8.7,(1041人评分),19,"
14话 / 2008年1月7日 / 佐藤順一 / 天野こずえ / 古賀誠 "
攻壳机动队2 无罪,8.6,(2199人评分),20,"
1话 / 2004年3月6日 / 押井守 "
蓝色恐惧,8.6,(2198人评分),21,"
1话 / 1998年2月28日 / 今敏 / 竹内義和 "
天元突破 红莲螺岩,8.6,(4182人评分),22,"
27话 / 2007年4月1日 "
凉宫春日的消失,8.6,(7063人评分),23,"
1话 / 2010年2月6日 / 武本康弘 / 谷川流 / 池田晶子 "
水星领航员 The AVVENIRE,8.7,(465人评分),24,"
3话 / 2015年9月26日 / 佐藤順一 / 天野こずえ "
海贼王,8.5,(4919人评分),25,"
1999年10月20日 / 宇田鋼之介、志水淳児→境宗久→宮元宏彰 / 尾田栄一郎 / 小泉昇→久田和也 "
命运石之门,8.5,(10085人评分),26,"
25话 / 2011年4月6日 / 佐藤卓哉、浜崎博嗣、小林智樹(第25話) / 坂井久太 "
大闹天宫,8.6,(1891人评分),27,"
1961年 / 万籁鸣、唐澄 / 西游记 "
千与千寻,8.5,(6740人评分),28,"
1话 / 2001年7月20日 / 宮崎駿 "
蜂蜜与四叶草,8.5,(2818人评分),29,"
24话 / 2005年4月14日 / カサヰケンイチ / 羽海野チカ / 島村秀一 "
蜂蜜与四叶草II,8.5,(2001人评分),30,"
12话 / 2006年6月29日 / 長井龍雪 / 羽海野チカ / 島村秀一 "
虫师 续章 第2期,8.5,(1379人评分),31,"
10话 / 2014年10月18日 "
千年女优,8.5,(3011人评分),32,"
1话 / 2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本) / 今敏 / 本田雄、今敏 "
混沌武士,8.5,(2922人评分),33,"
26话 / 2004年5月19日 / 渡辺信一郎 "
虫师 续章,8.5,(1867人评分),34,"
12话 / 2014年4月4日 / 長濵博史 / 漆原友紀 / 馬越嘉彦 "
天空之城,8.5,(4470人评分),35,"
1986年8月2日 / 宮崎駿 "
瑞克和莫蒂 第二季,8.6,(436人评分),36,"
10话 / 2015-07-26 "
攻壳机动队2.0,8.5,(1281人评分),37,"
2008年7月12日 / 押井守 "
少女与战车 剧场版,8.4,(2248人评分),38,"
1话 / 2015年11月21日 / 水島努 / 杉本功 "
排球少年 乌野高校 VS 白鸟泽学园高校,8.4,(1254人评分),39,"
10话 / 2016年10月7日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） "
机动警察 和平保卫战,8.5,(509人评分),40,"
1993年8月7日 / 押井守 "
CLANNAD,8.4,(7727人评分),41,"
23话 / 2007年10月4日 "
瑞克和莫蒂 第三季,8.6,(311人评分),42,"
10话 / 2017年4月1日 "
魔法少女小圆,8.4,(10727人评分),43,"
12话 / 2011年1月6日 / 新房昭之 / Magica Quartet / 岸田隆宏 "
机动战士高达0080 口袋里的战争,8.4,(1314人评分),44,"
6话 / 1989年3月25日 / 高山文彦 / 矢立肇、富野由悠季 / 美樹本晴彦 "
红辣椒,8.4,(2962人评分),45,"
1话 / 2006年11月25日 / 今敏 / 筒井康隆 "
四叠半神话大系,8.4,(3524人评分),46,"
11话 / 2010年4月22日 / 湯浅政明 / 森見登美彦 / 伊東伸高 "
机动战士Z高达,8.4,(1069人评分),47,"
50话 / 1985年3月2日 / 富野由悠季 / 矢立肇 / 安彦良和 "
怪物,8.4,(1339人评分),48,"
74话 / 2004年4月6日 "
