text,author,tags
星际牛仔,1,9.1
攻壳机动队 S.A.C. 2nd GIG,2,9.1
攻壳机动队 STAND ALONE COMPLEX,3,9.0
CLANNAD ～AFTER STORY～,4,8.9
新世纪福音战士,5,8.9
银魂',6,8.9
攻壳机动队,7,8.9
新世纪福音战士剧场版 Air/真心为你,8,8.8
银魂,9,8.8
灌篮高手,10,8.8
浪客剑心 追忆篇,11,8.8
白箱,12,8.8
3月的狮子 第二季,13,8.8
钢之炼金术师 FULLMETAL ALCHEMIST,14,8.7
银河英雄传说,15,8.8
虫师,16,8.7
福音战士新剧场版：破,17,8.7
猫和老鼠,18,8.7
水星领航员 第三季,19,8.7
攻壳机动队2 无罪,20,8.6
蓝色恐惧,21,8.6
天元突破 红莲螺岩,22,8.6
凉宫春日的消失,23,8.6
水星领航员 The AVVENIRE,24,8.7
海贼王,25,8.5
命运石之门,26,8.5
大闹天宫,27,8.6
千与千寻,28,8.5
蜂蜜与四叶草,29,8.5
蜂蜜与四叶草II,30,8.5
虫师 续章 第2期,31,8.5
千年女优,32,8.5
混沌武士,33,8.5
虫师 续章,34,8.5
天空之城,35,8.5
瑞克和莫蒂 第二季,36,8.6
攻壳机动队2.0,37,8.5
少女与战车 剧场版,38,8.4
排球少年 乌野高校 VS 白鸟泽学园高校,39,8.4
机动警察 和平保卫战,40,8.5
CLANNAD,41,8.4
瑞克和莫蒂 第三季,42,8.6
魔法少女小圆,43,8.4
机动战士高达0080 口袋里的战争,44,8.4
红辣椒,45,8.4
四叠半神话大系,46,8.4
机动战士Z高达,47,8.4
怪物,48,8.4
幽灵公主,49,8.4
死亡笔记,50,8.4
新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,51,8.4
歌牌情缘2,52,8.4
星空清理者,53,8.4
空之境界 第五章 矛盾螺旋,54,8.3
攻壳机动队 S.A.C. Solid State Society,55,8.4
哆啦A梦 大山版,56,8.5
百变之星,57,8.4
JOJO的奇妙冒险,58,8.3
昭和元禄落语心中 -助六再临篇-,59,8.4
风之谷,60,8.3
银魂' 延长战,61,8.4
钢之炼金术师,62,8.3
福音战士新剧场版：序,63,8.3
JOJO的奇妙冒险 星尘斗士 埃及篇,64,8.3
水星领航员 OVA,65,8.4
瑞克和莫蒂 第一季,66,8.4
排球少年 第二季,67,8.3
棒球英豪,68,8.4
乒乓,69,8.3
数码兽大冒险,70,8.3
十二国记,71,8.3
少女革命,72,8.3
星际牛仔 天国之扉,73,8.3
日常,74,8.3
Code Geass 反叛的鲁路修,75,8.3
永生之酒,76,8.3
水星领航员 第二季,77,8.3
猎人,78,8.3
夏目友人帐 参,79,8.3
虫师 续章 铃之雫,80,8.3
哆啦A梦,81,8.3
皇家国教骑士团 OVA,82,8.3
王牌投手 振臂高挥,83,8.3
物怪,84,8.3
机器人总动员,85,8.3
棋魂,86,8.3
爆漫王。3,87,8.3
机动战士高达 逆袭的夏亚,88,8.3
太空丹迪 第二季,89,8.3
比宇宙更远的地方,90,8.3
王牌投手 振臂高挥～夏日大会篇～,91,8.3
飞跃巅峰！,92,8.3
FLCL,93,8.3
Heart Catch 光之美少女!,94,8.3
龙猫,95,8.2
新世纪福音战士剧场版 死与新生,96,8.2
水星领航员,97,8.2
虫师 蚀日之翳,98,8.3
电脑线圈,99,8.2
化物语,100,8.2
来自深渊,101,8.2
∀高达,102,8.3
东京教父,103,8.2
来自新世界,104,8.2
魔法少女小圆 剧场版 [新篇] 叛逆的物语,105,8.2
全金属狂潮 校园篇,106,8.2
终物语（下）,107,8.2
Fate/Zero,108,8.2
回忆三部曲,109,8.2
春宵苦短，少女前进吧！,110,8.2
幸运星,111,8.2
秒速5厘米,112,8.2
飞跃巅峰2！,113,8.2
日本动画（人）博览会,114,8.2
宇宙兄弟,115,8.2
交响诗篇,116,8.2
小马驹G4 第二季,117,8.4
3月的狮子,118,8.2
JOJO的奇妙冒险 星尘斗士,119,8.2
歌牌情缘,120,8.2
空之境界 第七章 杀人考察（后）,122,8.1
机动战士高达 第08MS小队,123,8.2
摇曳露营△,124,8.2
猎人 OVA,125,8.2
龙珠,126,8.2
凉宫春日的忧郁,127,8.1
爆漫王。2,128,8.1
白兔糖,129,8.1
Code Geass 反叛的鲁路修R2,130,8.1
冰菓,131,8.1
监狱兔 第一季,132,8.1
银魂°,134,8.2
小马驹G4 第一季,135,8.3
续 夏目友人帐,136,8.1
排球少年,137,8.1
夏目友人帐,138,8.1
天元突破红莲螺岩 螺岩篇,139,8.1
少女革命剧场版 思春期默示录,141,8.2
AIR,142,8.1
你的名字。,143,8.1
昭和元禄落语心中,144,8.1
狮子王,145,8.1
寒蝉鸣泣之时 解,146,8.1
龙与虎,147,8.1
黑客帝国动画版,148,8.1
搞笑漫画日和,149,8.1
吹响！悠风号,150,8.1
悠久之翼2,151,8.1
攻壳机动队 S.A.C. SSS 3D,152,8.2
